t_s,bufPctRaw,bufPctSmoothed,bufPctDrawn,redraws,lastSkipReason
19.8715,0,0,0,85,delta
19.8916,0,0,0,85,delta
19.9119,0,0,0,85,delta
19.9314,0,0,0,85,delta
19.9515,0,0,0,85,delta
19.9725,0,0,0,85,delta
19.9925,0,0,0,85,delta
20.0125,0,0,0,85,delta
20.0327,0,0,0,85,delta
20.0524,0,0,0,85,delta
20.0725,0,0,0,85,delta
20.0927,0,0,0,85,delta
20.1124,0,0,0,85,delta
20.1324,0,0,0,85,delta
20.1528,0,0,0,85,delta
20.1724,0,0,0,85,delta
20.1924,0,0,0,85,delta
20.2126,0,0,0,85,delta
20.2323,0,0,0,85,delta
20.2525,0,0,0,85,delta
20.2727,0,0,0,85,delta
20.2931,0,0,0,85,delta
20.3134,0,0,0,85,delta
20.3337,0,0,0,85,delta
20.3536,0,0,0,85,delta
20.3734,0,0,0,85,delta
20.3936,0,0,0,85,delta
20.4134,0,0,0,85,delta
20.4332,0,0,0,85,delta
20.4535,0,0,0,85,delta
20.4735,0,0,0,85,delta
20.4939,0,0,0,85,delta
20.5141,0,0,0,85,delta
20.5346,0,0,0,85,delta
20.5544,0,0,0,85,delta
20.5746,0,0,0,85,delta
20.5945,0,0,0,85,delta
20.6143,0,0,0,85,delta
20.6347,0,0,0,85,delta
20.6543,0,0,0,85,delta
20.6744,0,0,0,85,delta
20.6945,0,0,0,85,delta
20.7146,0,0,0,85,delta
20.7344,0,0,0,85,delta
20.7548,0,0,0,85,delta
20.7744,0,0,0,85,delta
20.7943,0,0,0,85,delta
20.8161,0,0,0,85,delta
20.8371,0,0,0,85,delta
20.8596,0,0,0,85,delta
20.8795,0,0,0,85,delta
20.8994,0,0,0,85,delta
20.9198,0,0,0,85,delta
20.9394,0,0,0,85,delta
20.9595,0,0,0,85,delta
20.9797,0,0,0,85,delta
20.9993,0,0,0,85,delta
21.0199,0,0,0,85,delta
21.0403,0,0,0,85,delta
21.0604,0,0,0,85,delta
21.0806,0,0,0,85,delta
21.1006,0,0,0,85,delta
21.1203,0,0,0,85,delta
21.1405,0,0,0,85,delta
21.1608,0,0,0,85,delta
21.1805,0,0,0,85,delta
21.2004,0,0,0,85,delta
21.2207,0,0,0,85,delta
21.2405,0,0,0,85,delta
